mode_id,lens_name,alpha,tau,seed,trial,mismatch_tv,idem_tv,macro_drift_tv,delta_tv,K,m,N,lam,gamma
FM1_macro_preserved_micro_funnel,std,,1,1,2,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,3,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,4,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,5,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,6,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,7,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,8,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,9,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,10,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,11,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,12,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,13,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,14,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,15,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,16,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,17,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,18,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,19,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,20,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,21,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,22,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,23,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,24,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,25,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,26,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,27,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,28,0.9000000000000006,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,29,0.8999999999999997,,,,6,10,60,0.2,0.7
