seed,trial_id,n,m,sparsity,eps,kl_in,kl_out,diff
20250126,1,2,2,0.0,1e-12,0.1672284571830564,0.029415312186881398,0.137813144996175
20250126,2,2,2,0.0,1e-12,0.5342438918295909,0.004713376008554905,0.5295305158210359
20250126,3,2,2,0.0,1e-12,0.20539187238118983,0.042086016546640015,0.16330585583454982
20250126,4,2,2,0.0,1e-12,1.8250052042049463,0.03241852242697185,1.7925866817779745
20250126,5,2,2,0.0,1e-12,0.1100793644374992,0.00018774869738829095,0.10989161574011092
20250126,6,2,2,0.0,1e-12,0.5531029712468931,0.02130132601970741,0.5318016452271856
20250126,7,2,2,0.0,1e-12,0.9751961883624733,0.11728815593220462,0.8579080324302687
20250126,8,2,2,0.0,1e-12,0.04909765251101647,0.023523470102430902,0.02557418240858557
20250126,9,2,2,0.0,1e-12,0.4969197072889289,0.0012858398835447656,0.4956338674053842
20250126,10,2,2,0.0,1e-12,0.09174128495902902,0.0003622421799872773,0.09137904277904174
20250126,11,2,2,0.0,1e-12,0.02701913159889272,0.0028010059228775197,0.0242181256760152
20250126,12,2,2,0.0,1e-12,0.3150725491913709,0.013788824600560384,0.30128372459081054
20250126,13,2,2,0.0,1e-12,0.11930592898094025,4.953910657921499e-08,0.11930587944183367
20250126,14,2,2,0.0,1e-12,2.171544670055816,0.5220664045477157,1.6494782655081004
20250126,15,2,2,0.0,1e-12,0.5160377168253341,0.11566446277808146,0.4003732540472526
20250126,16,2,2,0.0,1e-12,0.1089729751750845,0.01764334269909494,0.09132963247598956
20250126,17,2,2,0.0,1e-12,2.019843549662997,0.009522164377296347,2.010321385285701
20250126,18,2,2,0.0,1e-12,0.5166169043973571,0.01565812155339058,0.5009587828439666
20250126,19,2,2,0.0,1e-12,0.1996699053000911,0.03404709837200995,0.16562280692808115
20250126,20,2,2,0.0,1e-12,0.05911013024735848,0.006530881509150897,0.05257924873820758
20250126,21,2,2,0.0,1e-12,0.013773257472808192,0.00047084533446391415,0.013302412138344278
20250126,22,2,2,0.0,1e-12,0.18074973703837058,0.0019054549884839345,0.17884428204988664
20250126,23,2,2,0.0,1e-12,0.23549102761504326,0.0412401362320783,0.19425089138296497
20250126,24,2,2,0.0,1e-12,0.00018352940130840316,0.00010011513029399132,8.341427101441184e-05
20250126,25,2,2,0.0,1e-12,0.39306622849713857,0.049150650261195,0.34391557823594354
20250126,26,2,2,0.0,1e-12,0.0016855415746303282,0.0008404022441199262,0.000845139330510402
20250126,27,2,2,0.0,1e-12,0.003606225834316891,0.0012565727611148665,0.0023496530732020245
20250126,28,2,2,0.0,1e-12,0.017630121565317652,0.007340805376043022,0.01028931618927463
20250126,29,2,2,0.0,1e-12,1.3304388211959028,0.0009465577983678412,1.329492263397535
20250126,30,2,2,0.0,1e-12,0.8946079556290527,0.3531425544193071,0.5414654012097456
20250126,31,2,2,0.0,1e-12,0.004913880327106664,0.0007485120637701747,0.004165368263336489
20250126,32,2,2,0.0,1e-12,0.0009948361047452288,4.518887190777931e-05,0.0009496472328374495
20250126,33,2,2,0.0,1e-12,0.16477863264761106,0.03328839699564348,0.13149023565196757
20250126,34,2,2,0.0,1e-12,1.525507402101219,0.0016214927157712153,1.5238859093854478
20250126,35,2,2,0.0,1e-12,0.20570292491538056,0.033877722899611204,0.17182520201576934
20250126,36,2,2,0.0,1e-12,2.073612210146424,0.07726676004451083,1.9963454501019133
20250126,37,2,2,0.0,1e-12,2.6961039707020795,0.010750458237840557,2.685353512464239
20250126,38,2,2,0.0,1e-12,0.0009360836372528589,3.931269468028607e-06,0.0009321523677848303
20250126,39,2,2,0.0,1e-12,0.12265511798095817,0.00037034069434122713,0.12228477728661694
20250126,40,2,2,0.0,1e-12,0.46772682375118096,0.06351842618330678,0.4042083975678742
20250126,41,2,2,0.0,1e-12,0.2791076671224725,0.003392893565143433,0.27571477355732904
20250126,42,2,2,0.0,1e-12,0.027718683678365677,0.0024012797254226517,0.025317403952943025
20250126,43,2,2,0.0,1e-12,0.02021050898017141,0.00016369349066141896,0.02004681548950999
20250126,44,2,2,0.0,1e-12,0.8625131193914126,0.10651637196728558,0.755996747424127
20250126,45,2,2,0.0,1e-12,3.4140344122866932,3.5991788639520416e-06,3.4140308131078294
20250126,46,2,2,0.0,1e-12,2.1450533773298597,0.08538021489392944,2.05967316243593
20250126,47,2,2,0.0,1e-12,0.5210758246495719,0.00015582293125515623,0.5209200017183168
20250126,48,2,2,0.0,1e-12,0.019166019175962185,4.093113595994178e-05,0.019125088040002243
20250126,49,2,2,0.0,1e-12,0.9132877491275564,0.010107098329307701,0.9031806507982487
20250126,50,2,2,0.0,1e-12,0.13573718056589512,0.005802787048444273,0.12993439351745084
20250126,51,2,2,0.0,1e-12,0.1177002616522805,0.012972319682989703,0.10472794196929079
20250126,52,2,2,0.0,1e-12,0.0982357646506973,0.004342817375845166,0.09389294727485215
20250126,53,2,2,0.0,1e-12,0.4296721650499362,0.009439461010838458,0.42023270403909774
20250126,54,2,2,0.0,1e-12,0.6283358001038564,0.11478788474481169,0.5135479153590446
20250126,55,2,2,0.0,1e-12,0.20115995891282398,0.03984212506433665,0.16131783384848733
20250126,56,2,2,0.0,1e-12,0.3496433898944532,0.013037301635785689,0.3366060882586675
20250126,57,2,2,0.0,1e-12,0.018419297844412624,0.003093633820444565,0.01532566402396806
20250126,58,2,2,0.0,1e-12,0.4002759587219943,0.0036047581541332613,0.39667120056786104
20250126,59,2,2,0.0,1e-12,0.12433616392788893,0.012823438737307347,0.11151272519058159
