seed,Nbin,s,t,delta_route,delta_closure_idem,delta_iter,mean0,var0
90,401,0.0,0.0,0.0,0.0,0.0,0.3014999999999999,0.0
90,401,0.0,0.02,0.0,0.0,0.4774073376747543,0.3014999999999999,0.0
90,401,0.0,0.04,1.586925035823583e-14,0.0,0.9484352722404046,0.3014999999999999,0.0
90,401,0.0,0.06,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.08,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.1,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.12,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.14,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.16,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.18,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.2,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.22,1.586925035823583e-14,1.586925035823583e-14,1.0,0.3014999999999999,0.0
90,401,0.0,0.24,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.26,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.28,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.3,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.32,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.34,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.36,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.38,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.4,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.42,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.44,1.5862311464331924e-14,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.46,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.48,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.5,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.52,1.586925035823583e-14,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.54,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.56,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.58,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.6,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.62,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.64,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.66,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.68,1.587618925213974e-14,1.5862311464331924e-14,1.0,0.3014999999999999,0.0
90,401,0.0,0.7000000000000001,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.72,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.74,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.76,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.78,1.5931700403370996e-14,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.8,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.8200000000000001,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.84,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.86,1.5862311464331924e-14,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.88,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.9,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.92,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.9400000000000001,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.96,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,0.98,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.0,1.0,0.0,0.0,1.0,0.3014999999999999,0.0
90,401,0.2,0.0,0.0,2.572431437514785e-15,2.572431437514785e-15,0.2999908284924529,0.04999500172533036
90,401,0.2,0.02,0.0043875566404976505,3.655989864960376e-15,0.008098212479571425,0.2999908284924529,0.04999500172533036
90,401,0.2,0.04,0.009069387279916982,4.730638352833799e-15,0.01653387565233024,0.2999908284924529,0.04999500172533036
90,401,0.2,0.06,0.014261126722230021,6.545438629578133e-15,0.025313262580857754,0.2999908284924529,0.04999500172533036
90,401,0.2,0.08,0.019613567178646086,8.36900230919476e-15,0.034434395776787106,0.2999908284924529,0.04999500172533036
90,401,0.2,0.1,0.02571722313800986,1.0801379389979889e-14,0.04389080910472293,0.2999908284924529,0.04999500172533036
90,401,0.2,0.12,0.031395787548111495,1.488672093854105e-14,0.05366958978220118,0.2999908284924529,0.04999500172533036
90,401,0.2,0.14,0.03806281865461818,2.0492510344346203e-14,0.063749231848229,0.2999908284924529,0.04999500172533036
90,401,0.2,0.16,0.044854924094104576,2.921385803080802e-14,0.07410911723438214,0.2999908284924529,0.04999500172533036
90,401,0.2,0.18,0.05296826884787005,4.416837379238141e-14,0.08472415038254204,0.2999908284924529,0.04999500172533036
90,401,0.2,0.2,0.059918301911405035,6.955280942117989e-14,0.09555627799926511,0.2999908284924529,0.04999500172533036
90,401,0.2,0.22,0.0690912045142596,1.147927408782102e-13,0.10657342118050256,0.2999908284924529,0.04999500172533036
90,401,0.2,0.24,0.0772408303908208,1.9497630506654096e-13,0.11773947279031363,0.2999908284924529,0.04999500172533036
