seed,N,nu,dt,tmax,sigma,t,tau_l2,tau_linf,tau_l1
70,128,0.1,0.002,1.0,0.04908738521234052,0.28,0.002411388816556321,0.004491875645568966,0.0019024699439950045
70,128,0.1,0.002,1.0,0.04908738521234052,0.3,0.002385304848340918,0.004604821328677011,0.0018817006819196167
70,128,0.1,0.002,1.0,0.04908738521234052,0.32,0.0023629839318613085,0.00469855815933129,0.001861990482374464
70,128,0.1,0.002,1.0,0.04908738521234052,0.34,0.0023439741292740385,0.0048080319384537495,0.001843236201172856
70,128,0.1,0.002,1.0,0.04908738521234052,0.36,0.0023278645818710047,0.004920073977274231,0.0018253445417101247
70,128,0.1,0.002,1.0,0.04908738521234052,0.38,0.002314281736002041,0.005009130698019171,0.0018082310852266252
70,128,0.1,0.002,1.0,0.04908738521234052,0.4,0.0023028861727473985,0.005106001315928588,0.0017918194699209898
70,128,0.1,0.002,1.0,0.04908738521234052,0.42,0.002293369901100191,0.005216273509679237,0.0017760406911049354
70,128,0.1,0.002,1.0,0.04908738521234052,0.44,0.002285454007926933,0.005300062802129635,0.001760832499922057
70,128,0.1,0.002,1.0,0.04908738521234052,0.46,0.002278886584090424,0.005377411417937683,0.0017461388824397074
70,128,0.1,0.002,1.0,0.04908738521234052,0.48,0.0022734408663965594,0.005485786989441022,0.0017319096044234828
70,128,0.1,0.002,1.0,0.04908738521234052,0.5,0.0022689135506785167,0.0055646277114216325,0.0017180998099857133
70,128,0.1,0.002,1.0,0.04908738521234052,0.52,0.0022651232433325078,0.005614983347263847,0.0017046696646645155
70,128,0.1,0.002,1.0,0.04908738521234052,0.54,0.0022619090277797367,0.005722097303686724,0.0016915840354500855
70,128,0.1,0.002,1.0,0.04908738521234052,0.56,0.002259129129302851,0.0057971834648231635,0.001678812201922273
70,128,0.1,0.002,1.0,0.04908738521234052,0.58,0.002256659666972219,0.005836798163020074,0.001666327593990623
70,128,0.1,0.002,1.0,0.04908738521234052,0.6,0.0022543934853963216,0.00592012543289322,0.0016541075528633022
70,128,0.1,0.002,1.0,0.04908738521234052,0.62,0.0022522390620846166,0.005993388512925357,0.0016421331127787718
70,128,0.1,0.002,1.0,0.04908738521234052,0.64,0.002250119488584344,0.006029529221224517,0.0016303888017951866
70,128,0.1,0.002,1.0,0.04908738521234052,0.66,0.00224797152541486,0.006076441864322379,0.001618862460524121
70,128,0.1,0.002,1.0,0.04908738521234052,0.68,0.0022457447323595186,0.0061503445560257,0.001607545078180265
70,128,0.1,0.002,1.0,0.04908738521234052,0.7000000000000001,0.0022434006769824887,0.006186093982279206,0.0015964306456844955
70,128,0.1,0.002,1.0,0.04908738521234052,0.72,0.0022409122254164774,0.0061893926464978155,0.001585516025810667
70,128,0.1,0.002,1.0,0.04908738521234052,0.74,0.002238262920600777,0.0062666957929712885,0.0015748008405509005
70,128,0.1,0.002,1.0,0.04908738521234052,0.76,0.0022354464542675683,0.006305408850301231,0.0015642873759431166
70,128,0.1,0.002,1.0,0.04908738521234052,0.78,0.0022324662401294617,0.006303547467480575,0.0015539805046015274
70,128,0.1,0.002,1.0,0.04908738521234052,0.8,0.0022293350969326063,0.006342715623652573,0.0015438876261060599
70,128,0.1,0.002,1.0,0.04908738521234052,0.8200000000000001,0.0022260750512710144,0.00638779052409455,0.0015340186252038308
70,128,0.1,0.002,1.0,0.04908738521234052,0.84,0.0022227172713304238,0.0063924955537534855,0.0015243858475197996
70,128,0.1,0.002,1.0,0.04908738521234052,0.86,0.0022193021439200376,0.006380420415098842,0.0015150040920746787
70,128,0.1,0.002,1.0,0.04908738521234052,0.88,0.0022158795082027143,0.006435122681220762,0.001505890619433219
70,128,0.1,0.002,1.0,0.04908738521234052,0.9,0.0022125090602639866,0.006450113329384555,0.0014970651737095677
70,128,0.1,0.002,1.0,0.04908738521234052,0.92,0.0022092609428523272,0.0064244227067544735,0.0014885500159488878
70,128,0.1,0.002,1.0,0.04908738521234052,0.9400000000000001,0.0022062165339811774,0.006451140456262605,0.0014803699655878582
70,128,0.1,0.002,1.0,0.04908738521234052,0.96,0.002203469446216749,0.006479887198624801,0.0014725524457900017
70,128,0.1,0.002,1.0,0.04908738521234052,0.98,0.002201126744874213,0.0064689348808460445,0.0014651275274351263
70,128,0.1,0.002,1.0,0.04908738521234052,1.0,0.0021993103874363516,0.006441944384985132,0.0014581279654996256
70,128,0.1,0.002,1.0,0.09817477042468103,0.0,0.014172752264217109,0.03764085675884574,0.009523421696481396
70,128,0.1,0.002,1.0,0.09817477042468103,0.02,0.013500174342862326,0.034571395131031246,0.009298051207747984
70,128,0.1,0.002,1.0,0.09817477042468103,0.04,0.012908338999416185,0.03187632264615431,0.00909207293043588
70,128,0.1,0.002,1.0,0.09817477042468103,0.06,0.012386530066592667,0.029495507039144192,0.008903132002955274
70,128,0.1,0.002,1.0,0.09817477042468103,0.08,0.011925847899992858,0.027380666312288998,0.008729236305698258
70,128,0.1,0.002,1.0,0.09817477042468103,0.1,0.011518816070388418,0.025492628573202475,0.008568685397339022
70,128,0.1,0.002,1.0,0.09817477042468103,0.12,0.011159085614451423,0.023799312940024325,0.00842001594665892
70,128,0.1,0.002,1.0,0.09817477042468103,0.14,0.01084121017828958,0.0222742202855373,0.008281959318396445
70,128,0.1,0.002,1.0,0.09817477042468103,0.16,0.010560473476791456,0.020895290344778522,0.008153408250529048
70,128,0.1,0.002,1.0,0.09817477042468103,0.18,0.01031275587534353,0.019644025969512147,0.008033390424486149
70,128,0.1,0.002,1.0,0.09817477042468103,0.2,0.01009443055342961,0.018504814796451913,0.007921047324798168
70,128,0.1,0.002,1.0,0.09817477042468103,0.22,0.009902282234812711,0.017464398588542984,0.007815617201485674
70,128,0.1,0.002,1.0,0.09817477042468103,0.24,0.009733443247191869,0.01651145428611034,0.007716421245055974
70,128,0.1,0.002,1.0,0.09817477042468103,0.26,0.009585342950056835,0.01665333268947189,0.007622852298077356
70,128,0.1,0.002,1.0,0.09817477042468103,0.28,0.00945566750225094,0.017078960471335614,0.007534365583974807
70,128,0.1,0.002,1.0,0.09817477042468103,0.3,0.009342327635365771,0.017455222238522916,0.0074504710498440405
70,128,0.1,0.002,1.0,0.09817477042468103,0.32,0.009243432625193592,0.017761093507921877,0.007370727007267902
