seed,M,mu0,s,t,mean_micro,y_mean,mismatch,abs_mismatch
80,20000,0.3,0.0,0.0,0.29999999999999993,0.29999999999999993,0.0,0.0
80,20000,0.3,0.0,0.01,0.3009027081243731,0.30090270812437303,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.02,0.30181086519114686,0.3018108651911468,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.03,0.30272452068617556,0.3027245206861755,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.04,0.30364372469635625,0.3036437246963562,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.05,0.30456852791878164,0.30456852791878164,0.0,0.0
80,20000,0.3,0.0,0.06,0.3054989816700611,0.305498981670061,1.1102230246251565e-16,1.1102230246251565e-16
80,20000,0.3,0.0,0.07,0.306435137895812,0.306435137895812,0.0,0.0
80,20000,0.3,0.0,0.08,0.30737704918032793,0.3073770491803278,1.1102230246251565e-16,1.1102230246251565e-16
80,20000,0.3,0.0,0.09,0.30832476875642356,0.3083247687564234,1.6653345369377348e-16,1.6653345369377348e-16
80,20000,0.3,0.0,0.1,0.3092783505154638,0.3092783505154639,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.11,0.3102378490175802,0.31023784901758006,1.6653345369377348e-16,1.6653345369377348e-16
80,20000,0.3,0.0,0.12,0.3112033195020746,0.31120331950207464,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.13,0.31217481789802287,0.3121748178980228,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.14,0.3131524008350731,0.313152400835073,1.1102230246251565e-16,1.1102230246251565e-16
80,20000,0.3,0.0,0.15,0.31413612565445026,0.3141361256544502,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.16,0.31512605042016795,0.315126050420168,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.17,0.31612223393045313,0.316122233930453,1.1102230246251565e-16,1.1102230246251565e-16
80,20000,0.3,0.0,0.18,0.3171247357293868,0.3171247357293868,0.0,0.0
80,20000,0.3,0.0,0.19,0.3181336161187698,0.3181336161187698,0.0,0.0
80,20000,0.3,0.0,0.2,0.3191489361702127,0.31914893617021267,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.21,0.32017075773745984,0.3201707577374599,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.22,0.3211991434689506,0.3211991434689507,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.23,0.322234156820623,0.3222341568206229,1.1102230246251565e-16,1.1102230246251565e-16
80,20000,0.3,0.0,0.24,0.3232758620689654,0.3232758620689654,0.0,0.0
80,20000,0.3,0.0,0.25,0.3243243243243243,0.32432432432432423,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.26,0.32537960954446843,0.3253796095444685,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.27,0.32644178454842215,0.3264417845484221,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.28,0.32751091703056756,0.3275109170305676,-5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.29,0.32858707557502737,0.3285870755750273,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.3,0.32967032967032966,0.3296703296703296,5.551115123125783e-17,5.551115123125783e-17
80,20000,0.3,0.0,0.31,0.330760749724366,0.330760749724366,0.0,0.0
80,20000,0.3,0.0,0.32,0.331858407079646,0.3318584070796459,5.551115123125783e-17,5.551115123125783e-17
