seed,d,lam,t,mismatch
30,4,0.5,0.0,2.174672589722116e-16
30,4,0.5,0.05025125628140704,0.02601191313122107
30,4,0.5,0.10050251256281408,0.05095698982094851
30,4,0.5,0.15075376884422112,0.07429898589474919
30,4,0.5,0.20100502512562815,0.09557062335710312
30,4,0.5,0.2512562814070352,0.1143884923567314
30,4,0.5,0.30150753768844224,0.13047563726060132
30,4,0.5,0.35175879396984927,0.14368990020735822
30,4,0.5,0.4020100502512563,0.15405285823796344
30,4,0.5,0.45226130653266333,0.16176822204668598
30,4,0.5,0.5025125628140704,0.16720539853430733
30,4,0.5,0.5527638190954774,0.17080535490196724
30,4,0.5,0.6030150753768845,0.17287878366644566
30,4,0.5,0.6532663316582915,0.17337925542543836
30,4,0.5,0.7035175879396985,0.17186449102057483
30,4,0.5,0.7537688442211056,0.16773279570565175
30,4,0.5,0.8040201005025126,0.16055316826958171
30,4,0.5,0.8542713567839196,0.15030988633959613
30,4,0.5,0.9045226130653267,0.1375589032422247
30,4,0.5,0.9547738693467337,0.1235472294528241
30,4,0.5,1.0050251256281408,0.11014317074593719
30,4,0.5,1.0552763819095479,0.0990008236077401
30,4,0.5,1.105527638190955,0.09027458079021976
30,4,0.5,1.155778894472362,0.08315395177481788
30,4,0.5,1.206030150753769,0.0838735130938015
30,4,0.5,1.256281407035176,0.08838191991378805
30,4,0.5,1.306532663316583,0.09773504660034771
30,4,0.5,1.35678391959799,0.11173608099757829
30,4,0.5,1.407035175879397,0.12391907515341469
30,4,0.5,1.4572864321608041,0.13396776845303277
30,4,0.5,1.5075376884422111,0.14219104698102464
30,4,0.5,1.5577889447236182,0.14915089901868991
30,4,0.5,1.6080402010050252,0.15535209049758247
30,4,0.5,1.6582914572864322,0.16101723649712885
30,4,0.5,1.7085427135678393,0.16605230516215957
30,4,0.5,1.7587939698492463,0.17018172832442258
30,4,0.5,1.8090452261306533,0.17311707684329178
30,4,0.5,1.8592964824120604,0.17465231250000948
30,4,0.5,1.9095477386934674,0.17466542707266086
30,4,0.5,1.9597989949748744,0.17306448276012376
30,4,0.5,2.0100502512562817,0.1697437834639046
30,4,0.5,2.0603015075376887,0.16460698022285877
30,4,0.5,2.1105527638190957,0.1576570051316594
30,4,0.5,2.1608040201005028,0.14909361615246677
30,4,0.5,2.21105527638191,0.1393552255573277
30,4,0.5,2.261306532663317,0.12908098619397423
30,4,0.5,2.311557788944724,0.11901425966641202
30,4,0.5,2.361809045226131,0.10993666650903233
30,4,0.5,2.412060301507538,0.11240419949613084
30,4,0.5,2.462311557788945,0.11699460201799886
30,4,0.5,2.512562814070352,0.12064633450701376
30,4,0.5,2.562814070351759,0.12271190493546412
30,4,0.5,2.613065326633166,0.12401036046762742
30,4,0.5,2.663316582914573,0.12564191264678196
30,4,0.5,2.71356783919598,0.12399247154825616
30,4,0.5,2.763819095477387,0.11959210041122864
30,4,0.5,2.814070351758794,0.11329125679501281
30,4,0.5,2.864321608040201,0.10601003798224573
30,4,0.5,2.9145728643216082,0.09860256487419675
30,4,0.5,2.9648241206030153,0.09245943711279249
30,4,0.5,3.0150753768844223,0.09239013421171778
30,4,0.5,3.0653266331658293,0.10428149449773041
30,4,0.5,3.1155778894472363,0.12204628014590575
30,4,0.5,3.1658291457286434,0.13989840079985957
30,4,0.5,3.2160804020100504,0.1553804397613534
30,4,0.5,3.2663316582914574,0.16723888115002644
30,4,0.5,3.3165829145728645,0.1748489729712513
30,4,0.5,3.3668341708542715,0.17809708580661504
30,4,0.5,3.4170854271356785,0.17737737842713874
30,4,0.5,3.4673366834170856,0.17360865612232906
30,4,0.5,3.5175879396984926,0.16816704235268795
30,4,0.5,3.5678391959798996,0.16252522729217264
30,4,0.5,3.6180904522613067,0.15752452025121708
30,4,0.5,3.6683417085427137,0.15291170811678648
30,4,0.5,3.7185929648241207,0.14778292293567427
30,4,0.5,3.7688442211055277,0.1413563775206108
30,4,0.5,3.819095477386935,0.13339779877365288
30,4,0.5,3.869346733668342,0.124373518834858
30,4,0.5,3.919597989949749,0.11554325981948083
30,4,0.5,3.969849246231156,0.10885073541604637
30,4,0.5,4.020100502512563,0.10605003991482018
30,4,0.5,4.07035175879397,0.10755599423211572
30,4,0.5,4.120603015075377,0.11276514388278794
30,4,0.5,4.170854271356784,0.12082826860977997
30,4,0.5,4.2211055276381915,0.13066748076554424
30,4,0.5,4.2713567839195985,0.1409514230719794
30,4,0.5,4.3216080402010055,0.150324615165127
30,4,0.5,4.371859296482413,0.15765718572985907
30,4,0.5,4.42211055276382,0.1621796998851644
30,4,0.5,4.472361809045227,0.16352424017474185
30,4,0.5,4.522613065326634,0.16170854763168527
30,4,0.5,4.572864321608041,0.15706049473993017
30,4,0.5,4.623115577889448,0.1500770698920617
30,4,0.5,4.673366834170855,0.14129108977517868
30,4,0.5,4.723618090452262,0.13126900977561506
30,4,0.5,4.773869346733669,0.12072312699702614
30,4,0.5,4.824120603015076,0.11057469291910615
30,4,0.5,4.874371859296483,0.10185058522726087
30,4,0.5,4.92462311557789,0.09539992466244393
30,4,0.5,4.974874371859297,0.09352092031852637
30,4,0.5,5.025125628140704,0.10042205818948732
30,4,0.5,5.075376884422111,0.10610981950513557
30,4,0.5,5.125628140703518,0.10953046853937795
30,4,0.5,5.175879396984925,0.11003693561026742
30,4,0.5,5.226130653266332,0.10906245546652424
30,4,0.5,5.276381909547739,0.1120456125901032
30,4,0.5,5.326633165829146,0.11331727830185837
30,4,0.5,5.376884422110553,0.11410197671195221
30,4,0.5,5.42713567839196,0.1159753918857016
30,4,0.5,5.477386934673367,0.1203022730647539
30,4,0.5,5.527638190954774,0.12755676420988946
30,4,0.5,5.577889447236181,0.13721069114647128
30,4,0.5,5.628140703517588,0.14824112422878272
30,4,0.5,5.678391959798995,0.1596174072784376
30,4,0.5,5.728643216080402,0.17374110135875354
30,4,0.5,5.778894472361809,0.18432970797844583
30,4,0.5,5.8291457286432165,0.19007591350848568
30,4,0.5,5.8793969849246235,0.19139952755035639
30,4,0.5,5.9296482412060305,0.1925329922744134
30,4,0.5,5.9798994974874375,0.1902959823150408
30,4,0.5,6.030150753768845,0.18480201907497917
30,4,0.5,6.080402010050252,0.17641576265030917
30,4,0.5,6.130653266331659,0.1657537394267143
30,4,0.5,6.180904522613066,0.1536862586968406
30,4,0.5,6.231155778894473,0.14132811243989007
30,4,0.5,6.28140703517588,0.12997423777963013
30,4,0.5,6.331658291457287,0.12088450228325245
30,4,0.5,6.381909547738694,0.11486440505000896
