d,channel_type,trials,seed,tol,eps,min_diff,mean_diff,p05_diff,p50_diff,p95_diff,violations
2,dephasing,72,20,1e-08,1e-12,0.006724150746309457,0.662434868170104,0.08139419156351567,0.4831077756425902,1.9632383639152486,0
2,depolarizing,79,20,1e-08,1e-12,0.027871773376150877,0.6160253151436448,0.03536782154044034,0.393561957079675,1.8698451465274992,0
2,projective,70,20,1e-08,1e-12,0.034278397446762726,0.5982418880975384,0.08015867879286939,0.38266912982384416,1.6869947259382279,0
2,random_kraus,79,20,1e-08,1e-12,0.04163256737952475,0.8442142125667158,0.1328677936481031,0.7266607546451354,2.400341357567802,0
3,dephasing,83,20,1e-08,1e-12,0.03515686182757943,0.8664286199837767,0.25127571853522024,0.7880506524151109,1.74670196891398,0
3,depolarizing,71,20,1e-08,1e-12,0.08057199283797825,0.7665083679822519,0.15828001333036684,0.6155722587271875,1.8079389502755767,0
3,projective,69,20,1e-08,1e-12,0.24772223384237013,1.0547982356840202,0.3102041828958948,1.0266857894116683,1.8941100075412771,0
3,random_kraus,77,20,1e-08,1e-12,0.16583563763712428,1.045079281834526,0.297090807475723,0.9942898333491038,1.9551871642366634,0
4,dephasing,74,20,1e-08,1e-12,0.19940291754512862,0.9741532401953245,0.34979701927268436,0.9363056888511521,1.636352348541174,0
4,depolarizing,64,20,1e-08,1e-12,0.13437611707911956,0.8778023132157173,0.30473898117285403,0.7793979040649608,1.8540326928094113,0
4,projective,85,20,1e-08,1e-12,0.374430619786003,1.1957402704066458,0.527403734084047,1.0524047815475317,2.107469648999809,0
4,random_kraus,77,20,1e-08,1e-12,0.32430336466095633,1.0939975427213773,0.43792805899909454,0.9614936852501351,1.9662783952656482,0
6,dephasing,77,20,1e-08,1e-12,0.3814394258469316,0.9677269320208451,0.469062004695342,0.9587673306605182,1.5152158093680532,0
6,depolarizing,87,20,1e-08,1e-12,0.2933316994197007,0.9264083690189759,0.3348386055671137,0.8616120437377948,1.5119890591605363,0
6,projective,78,20,1e-08,1e-12,0.6376560939043783,1.2787645988446898,0.7740766128158789,1.2102004195260538,2.059141314996537,0
6,random_kraus,58,20,1e-08,1e-12,0.6259227732741076,1.0825621148163989,0.6615201750307672,1.001759994693209,1.7093542974145612,0
