seed,trial,Nx,Nv,omega,tau,delta
40,129,16,3,0.0,1,0.49274928073963886
40,130,16,3,0.0,1,0.4351813624588753
40,131,16,3,0.0,1,0.3231414489421012
40,132,16,3,0.0,1,0.3564961634070675
40,133,16,3,0.0,1,0.3286966358491482
40,134,16,3,0.0,1,0.5851987931903895
40,135,16,3,0.0,1,0.3346733832110149
40,136,16,3,0.0,1,0.519545943666
40,137,16,3,0.0,1,0.46728086660602347
40,138,16,3,0.0,1,0.44893408954772107
40,139,16,3,0.0,1,0.3686060245700527
40,140,16,3,0.0,1,0.46770750155106444
40,141,16,3,0.0,1,0.32826407909076505
40,142,16,3,0.0,1,0.5125653312925735
40,143,16,3,0.0,1,0.46850880236592746
40,144,16,3,0.0,1,0.40166756896014344
40,145,16,3,0.0,1,0.33078475398271556
40,146,16,3,0.0,1,0.4496498230966396
40,147,16,3,0.0,1,0.3624077934516618
40,148,16,3,0.0,1,0.29937696423570687
40,149,16,3,0.0,1,0.42333339425833943
40,150,16,3,0.0,1,0.42625104197252917
40,151,16,3,0.0,1,0.392354568611884
40,152,16,3,0.0,1,0.4626567912473339
40,153,16,3,0.0,1,0.45051367457198593
40,154,16,3,0.0,1,0.5360927342098991
40,155,16,3,0.0,1,0.43045478748587107
40,156,16,3,0.0,1,0.35532240879397775
40,157,16,3,0.0,1,0.4559871195895156
40,158,16,3,0.0,1,0.4255697557097946
40,159,16,3,0.0,1,0.3856755960002443
40,160,16,3,0.0,1,0.4270211255078331
40,161,16,3,0.0,1,0.42071871442076847
40,162,16,3,0.0,1,0.44333218427905957
40,163,16,3,0.0,1,0.3579560796049742
40,164,16,3,0.0,1,0.45655817699315215
40,165,16,3,0.0,1,0.47569708593969223
40,166,16,3,0.0,1,0.388796178229761
40,167,16,3,0.0,1,0.4805651623375077
40,168,16,3,0.0,1,0.4691818423120938
40,169,16,3,0.0,1,0.37055591205428595
40,170,16,3,0.0,1,0.41788658920485533
40,171,16,3,0.0,1,0.4327480446962534
40,172,16,3,0.0,1,0.30273743852605206
40,173,16,3,0.0,1,0.4181418538679008
40,174,16,3,0.0,1,0.41673873923408566
40,175,16,3,0.0,1,0.29705005556081976
40,176,16,3,0.0,1,0.4518137541986257
40,177,16,3,0.0,1,0.4101190753026244
40,178,16,3,0.0,1,0.3661814174138337
40,179,16,3,0.0,1,0.4488270631413691
40,180,16,3,0.0,1,0.35404756714962754
40,181,16,3,0.0,1,0.33335026608975316
40,182,16,3,0.0,1,0.4721995845031123
40,183,16,3,0.0,1,0.505894246391104
40,184,16,3,0.0,1,0.47034446681036385
40,185,16,3,0.0,1,0.4050504078876268
40,186,16,3,0.0,1,0.43489062357627145
40,187,16,3,0.0,1,0.39012958272898113
40,188,16,3,0.0,1,0.5105501895995375
40,189,16,3,0.0,1,0.36127967707925757
40,190,16,3,0.0,1,0.5504830454830405
40,191,16,3,0.0,1,0.3818501807940393
40,192,16,3,0.0,1,0.5169651023161006
40,193,16,3,0.0,1,0.2772655195515847
40,194,16,3,0.0,1,0.4069211291215279
40,195,16,3,0.0,1,0.33977516810682556
40,196,16,3,0.0,1,0.47484801737708154
40,197,16,3,0.0,1,0.48670122358532375
40,198,16,3,0.0,1,0.35400450368675473
40,199,16,3,0.0,1,0.3484153736640543
40,0,16,3,0.0,2,0.4055914382810972
40,1,16,3,0.0,2,0.41495932029832006
40,2,16,3,0.0,2,0.4571500817171282
40,3,16,3,0.0,2,0.4554629882771394
40,4,16,3,0.0,2,0.40975547174552757
40,5,16,3,0.0,2,0.4329152289026321
40,6,16,3,0.0,2,0.49818531709622743
40,7,16,3,0.0,2,0.3894542770974746
40,8,16,3,0.0,2,0.33940333134395095
40,9,16,3,0.0,2,0.3749688496403043
40,10,16,3,0.0,2,0.36339459511665784
40,11,16,3,0.0,2,0.3655454446093994
40,12,16,3,0.0,2,0.44676516303055175
40,13,16,3,0.0,2,0.3582364834994068
40,14,16,3,0.0,2,0.4789122714486085
40,15,16,3,0.0,2,0.5157571663003725
40,16,16,3,0.0,2,0.44078687595076527
40,17,16,3,0.0,2,0.3782317289086553
40,18,16,3,0.0,2,0.36198214677909124
40,19,16,3,0.0,2,0.46104463552871366
40,20,16,3,0.0,2,0.4020264636765015
40,21,16,3,0.0,2,0.3713127225281737
40,22,16,3,0.0,2,0.3283336172396709
40,23,16,3,0.0,2,0.3763873430552902
40,24,16,3,0.0,2,0.46090780717360313
40,25,16,3,0.0,2,0.4662258488529612
40,26,16,3,0.0,2,0.45364531858200446
40,27,16,3,0.0,2,0.29899689266215534
40,28,16,3,0.0,2,0.38708873809821576
40,29,16,3,0.0,2,0.33657670981382504
40,30,16,3,0.0,2,0.43723645270771916
40,31,16,3,0.0,2,0.3593764683764852
40,32,16,3,0.0,2,0.38907931620787195
40,33,16,3,0.0,2,0.5314100416055738
40,34,16,3,0.0,2,0.4392166190833814
40,35,16,3,0.0,2,0.4014799352928268
40,36,16,3,0.0,2,0.41009482056691504
40,37,16,3,0.0,2,0.38234067957473294
40,38,16,3,0.0,2,0.45942925230050075
40,39,16,3,0.0,2,0.5647687229579998
40,40,16,3,0.0,2,0.4333587921899079
40,41,16,3,0.0,2,0.4033887382135584
40,42,16,3,0.0,2,0.4400674742362645
40,43,16,3,0.0,2,0.5250863464181716
40,44,16,3,0.0,2,0.4694920624749098
40,45,16,3,0.0,2,0.422975300660727
40,46,16,3,0.0,2,0.42376782203559715
40,47,16,3,0.0,2,0.4022127126742998
40,48,16,3,0.0,2,0.33509977871188457
40,49,16,3,0.0,2,0.36823595054319913
40,50,16,3,0.0,2,0.4149330493828625
40,51,16,3,0.0,2,0.4890960679917745
40,52,16,3,0.0,2,0.3984633098052152
40,53,16,3,0.0,2,0.38051143733726334
40,54,16,3,0.0,2,0.5109361693499876
40,55,16,3,0.0,2,0.4817668373094276
40,56,16,3,0.0,2,0.445596675084703
40,57,16,3,0.0,2,0.4228551082316384
40,58,16,3,0.0,2,0.49998060319805787
40,59,16,3,0.0,2,0.4325256725496892
40,60,16,3,0.0,2,0.3557385808737956
40,61,16,3,0.0,2,0.5516888240694017
40,62,16,3,0.0,2,0.48612321264810326
40,63,16,3,0.0,2,0.4618901892230065
40,64,16,3,0.0,2,0.3704694445381875
40,65,16,3,0.0,2,0.45909275208544587
40,66,16,3,0.0,2,0.3851480849113135
40,67,16,3,0.0,2,0.5559302990470518
40,68,16,3,0.0,2,0.33906633069130665
40,69,16,3,0.0,2,0.40991266007500293
40,70,16,3,0.0,2,0.36998716202743775
40,71,16,3,0.0,2,0.5391225648437332
40,72,16,3,0.0,2,0.3984588246686954
40,73,16,3,0.0,2,0.4072909588118153
40,74,16,3,0.0,2,0.3974613668891471
40,75,16,3,0.0,2,0.3786573645975221
40,76,16,3,0.0,2,0.4667528434666232
40,77,16,3,0.0,2,0.3686496656054072
40,78,16,3,0.0,2,0.41367649954483654
40,79,16,3,0.0,2,0.41483753059240336
40,80,16,3,0.0,2,0.3067011295966695
40,81,16,3,0.0,2,0.4591092617772432
40,82,16,3,0.0,2,0.3729573021683317
40,83,16,3,0.0,2,0.3846786326221665
40,84,16,3,0.0,2,0.442854166968087
40,85,16,3,0.0,2,0.3593078868207168
40,86,16,3,0.0,2,0.44421913847162703
40,87,16,3,0.0,2,0.4893526239303554
40,88,16,3,0.0,2,0.30909279920460897
40,89,16,3,0.0,2,0.4181119771446197
40,90,16,3,0.0,2,0.576071918683474
40,91,16,3,0.0,2,0.5271022651339676
40,92,16,3,0.0,2,0.5173162342361338
40,93,16,3,0.0,2,0.4965174348589781
40,94,16,3,0.0,2,0.48225633294982734
40,95,16,3,0.0,2,0.28537129893204466
40,96,16,3,0.0,2,0.33668632716571345
40,97,16,3,0.0,2,0.6535050710756624
40,98,16,3,0.0,2,0.4587538671867488
40,99,16,3,0.0,2,0.5259111989500251
40,100,16,3,0.0,2,0.45991099485720077
40,101,16,3,0.0,2,0.30664240603494997
40,102,16,3,0.0,2,0.49825428644213643
40,103,16,3,0.0,2,0.4959728008041572
40,104,16,3,0.0,2,0.3891349340890281
40,105,16,3,0.0,2,0.5199932433884573
40,106,16,3,0.0,2,0.384834893317269
40,107,16,3,0.0,2,0.3437294861924469
40,108,16,3,0.0,2,0.42957251375267025
40,109,16,3,0.0,2,0.3079664106388518
40,110,16,3,0.0,2,0.49377331159363397
40,111,16,3,0.0,2,0.379741600510857
40,112,16,3,0.0,2,0.3964345395606303
40,113,16,3,0.0,2,0.4515091851591768
40,114,16,3,0.0,2,0.4253726371956153
40,115,16,3,0.0,2,0.3767756270332382
40,116,16,3,0.0,2,0.42684393259651493
40,117,16,3,0.0,2,0.4933343824349471
40,118,16,3,0.0,2,0.4334666518624515
40,119,16,3,0.0,2,0.3537058942693057
40,120,16,3,0.0,2,0.5420227253528727
40,121,16,3,0.0,2,0.29578399632156016
40,122,16,3,0.0,2,0.550187134669536
40,123,16,3,0.0,2,0.5366749413093869
40,124,16,3,0.0,2,0.3856458806806531
40,125,16,3,0.0,2,0.30689989254650263
40,126,16,3,0.0,2,0.6014236513322601
40,127,16,3,0.0,2,0.4146719179648033
40,128,16,3,0.0,2,0.6043438569089036
40,129,16,3,0.0,2,0.3314966776178302
40,130,16,3,0.0,2,0.27548731538049925
40,131,16,3,0.0,2,0.4043429111092127
40,132,16,3,0.0,2,0.35421200454411983
40,133,16,3,0.0,2,0.4001704632758233
40,134,16,3,0.0,2,0.2940665249265141
40,135,16,3,0.0,2,0.5186382720053828
40,136,16,3,0.0,2,0.3427601643969434
40,137,16,3,0.0,2,0.3957869480549677
40,138,16,3,0.0,2,0.4214668188924066
40,139,16,3,0.0,2,0.6244873092678174
40,140,16,3,0.0,2,0.4181654736050141
40,141,16,3,0.0,2,0.3966102771566988
40,142,16,3,0.0,2,0.27575645270480204
40,143,16,3,0.0,2,0.3749980790594245
40,144,16,3,0.0,2,0.43978578453828565
40,145,16,3,0.0,2,0.33534021522125956
40,146,16,3,0.0,2,0.4426213296198126
40,147,16,3,0.0,2,0.4525404587809679
40,148,16,3,0.0,2,0.37012395241398577
40,149,16,3,0.0,2,0.3063246601395505
40,150,16,3,0.0,2,0.5084447197941715
40,151,16,3,0.0,2,0.4214631604943215
40,152,16,3,0.0,2,0.4703734654323898
40,153,16,3,0.0,2,0.42731023859634265
40,154,16,3,0.0,2,0.42651963715333513
40,155,16,3,0.0,2,0.3849563408443038
40,156,16,3,0.0,2,0.30981430097849266
40,157,16,3,0.0,2,0.34255624727559997
40,158,16,3,0.0,2,0.4405986401356834
40,159,16,3,0.0,2,0.4229483227970197
40,160,16,3,0.0,2,0.47999369911582457
40,161,16,3,0.0,2,0.43448446224533765
40,162,16,3,0.0,2,0.3556726092744046
40,163,16,3,0.0,2,0.3674474476960281
40,164,16,3,0.0,2,0.4894519033809056
40,165,16,3,0.0,2,0.44531143463813694
40,166,16,3,0.0,2,0.5435729330338231
40,167,16,3,0.0,2,0.42551365945355313
40,168,16,3,0.0,2,0.2512259743746434
40,169,16,3,0.0,2,0.41806361367462275
40,170,16,3,0.0,2,0.39104803902371454
40,171,16,3,0.0,2,0.4133359104054977
40,172,16,3,0.0,2,0.37647794422675274
40,173,16,3,0.0,2,0.3647604947081525
40,174,16,3,0.0,2,0.5479427780228542
40,175,16,3,0.0,2,0.4387309990278113
40,176,16,3,0.0,2,0.3596626042137428
40,177,16,3,0.0,2,0.28833820882607203
40,178,16,3,0.0,2,0.38767892094229617
40,179,16,3,0.0,2,0.4203372740867788
40,180,16,3,0.0,2,0.5234156005996149
40,181,16,3,0.0,2,0.42886796991936293
40,182,16,3,0.0,2,0.4613725606754218
40,183,16,3,0.0,2,0.42034203549010285
40,184,16,3,0.0,2,0.3504110789789323
40,185,16,3,0.0,2,0.3668034753157645
40,186,16,3,0.0,2,0.5023927283708121
40,187,16,3,0.0,2,0.44165657756460663
40,188,16,3,0.0,2,0.3405100103592998
40,189,16,3,0.0,2,0.42778153384889916
40,190,16,3,0.0,2,0.5085114483764717
40,191,16,3,0.0,2,0.47882413899326826
40,192,16,3,0.0,2,0.32090277483476637
40,193,16,3,0.0,2,0.46064001263155874
40,194,16,3,0.0,2,0.36749051779951625
40,195,16,3,0.0,2,0.3666448699506627
40,196,16,3,0.0,2,0.5587869825811834
40,197,16,3,0.0,2,0.49582391103135837
40,198,16,3,0.0,2,0.44258418936811306
40,199,16,3,0.0,2,0.43829085555005676
40,0,16,3,0.0,5,0.45996837972807775
40,1,16,3,0.0,5,0.4121504837696109
40,2,16,3,0.0,5,0.4473122137926559
40,3,16,3,0.0,5,0.3716117717696079
40,4,16,3,0.0,5,0.3165787741742243
40,5,16,3,0.0,5,0.42022597494880065
40,6,16,3,0.0,5,0.49950502443436356
40,7,16,3,0.0,5,0.2544918586500655
40,8,16,3,0.0,5,0.3746836326635655
40,9,16,3,0.0,5,0.5763606740076619
40,10,16,3,0.0,5,0.4092762098884868
40,11,16,3,0.0,5,0.5280665946671097
40,12,16,3,0.0,5,0.43385142663230497
40,13,16,3,0.0,5,0.4297528411474515
40,14,16,3,0.0,5,0.4240372353731833
40,15,16,3,0.0,5,0.4049970294680524
40,16,16,3,0.0,5,0.44982252603913747
40,17,16,3,0.0,5,0.3544018579946293
40,18,16,3,0.0,5,0.34681068377555346
40,19,16,3,0.0,5,0.41118218354871094
40,20,16,3,0.0,5,0.4324101547609448
40,21,16,3,0.0,5,0.3437559702643582
40,22,16,3,0.0,5,0.3909867192893882
40,23,16,3,0.0,5,0.3864682549732181
40,24,16,3,0.0,5,0.3399595559633689
40,25,16,3,0.0,5,0.3043572866431074
40,26,16,3,0.0,5,0.4442107488977938
40,27,16,3,0.0,5,0.4519363742377508
40,28,16,3,0.0,5,0.39465927446169935
40,29,16,3,0.0,5,0.3881167284814552
40,30,16,3,0.0,5,0.4221938939387191
40,31,16,3,0.0,5,0.35777819154254353
40,32,16,3,0.0,5,0.3819479974196646
40,33,16,3,0.0,5,0.39812611024958305
40,34,16,3,0.0,5,0.37179528233986414
40,35,16,3,0.0,5,0.37510594294469746
40,36,16,3,0.0,5,0.3723097094815143
40,37,16,3,0.0,5,0.3445130808840523
40,38,16,3,0.0,5,0.47961009445806646
40,39,16,3,0.0,5,0.3692603248631168
40,40,16,3,0.0,5,0.4820164624063956
40,41,16,3,0.0,5,0.4433936385204492
40,42,16,3,0.0,5,0.30902299640312914
40,43,16,3,0.0,5,0.4187746384678311
40,44,16,3,0.0,5,0.436613103600893
40,45,16,3,0.0,5,0.33421488396938875
40,46,16,3,0.0,5,0.4483736281848973
40,47,16,3,0.0,5,0.3689240370486597
40,48,16,3,0.0,5,0.556980934333614
40,49,16,3,0.0,5,0.43717778435176036
40,50,16,3,0.0,5,0.44258964256698263
40,51,16,3,0.0,5,0.4042279576431751
40,52,16,3,0.0,5,0.3504830046758044
40,53,16,3,0.0,5,0.3530124684584659
40,54,16,3,0.0,5,0.4493910580687937
40,55,16,3,0.0,5,0.5170824894598748
40,56,16,3,0.0,5,0.26281038748786806
40,57,16,3,0.0,5,0.44483658960181893
40,58,16,3,0.0,5,0.3625649603230133
40,59,16,3,0.0,5,0.35798025126750926
40,60,16,3,0.0,5,0.46228525475083837
40,61,16,3,0.0,5,0.350256948788679
40,62,16,3,0.0,5,0.41260421607316916
40,63,16,3,0.0,5,0.40025222270421645
40,64,16,3,0.0,5,0.3850788192668556
40,65,16,3,0.0,5,0.45827932845611924
40,66,16,3,0.0,5,0.4915379688745722
40,67,16,3,0.0,5,0.3220105362984297
40,68,16,3,0.0,5,0.42809917964758
40,69,16,3,0.0,5,0.46586942549934207
40,70,16,3,0.0,5,0.3284778262824306
40,71,16,3,0.0,5,0.4468668512322945
40,72,16,3,0.0,5,0.42981371278924996
40,73,16,3,0.0,5,0.5058845409813235
40,74,16,3,0.0,5,0.47452875965683367
40,75,16,3,0.0,5,0.4149865214098905
40,76,16,3,0.0,5,0.4465022362322842
40,77,16,3,0.0,5,0.4210417854638241
40,78,16,3,0.0,5,0.3698453518837497
40,79,16,3,0.0,5,0.494476447171771
40,80,16,3,0.0,5,0.5294067593349298
40,81,16,3,0.0,5,0.37039590731405214
40,82,16,3,0.0,5,0.6008497253965677
40,83,16,3,0.0,5,0.40856764557431413
40,84,16,3,0.0,5,0.32587778003328693
40,85,16,3,0.0,5,0.4210466054665902
40,86,16,3,0.0,5,0.37153452871216125
40,87,16,3,0.0,5,0.41334197339141954
40,88,16,3,0.0,5,0.31486877301246596
40,89,16,3,0.0,5,0.4260277966339705
40,90,16,3,0.0,5,0.417810927401192
40,91,16,3,0.0,5,0.3517395515846531
40,92,16,3,0.0,5,0.40295935618058054
40,93,16,3,0.0,5,0.4143740239863869
40,94,16,3,0.0,5,0.4173364205439096
40,95,16,3,0.0,5,0.37984935763355054
40,96,16,3,0.0,5,0.43822885032760783
40,97,16,3,0.0,5,0.35237196863492976
40,98,16,3,0.0,5,0.31283298142318655
40,99,16,3,0.0,5,0.4477083037705221
40,100,16,3,0.0,5,0.3606503014721951
40,101,16,3,0.0,5,0.5655810516060875
40,102,16,3,0.0,5,0.4514701690657084
40,103,16,3,0.0,5,0.35963574065842774
40,104,16,3,0.0,5,0.41599626076280743
40,105,16,3,0.0,5,0.48565430105952845
40,106,16,3,0.0,5,0.3765551920822902
40,107,16,3,0.0,5,0.5131578446449527
40,108,16,3,0.0,5,0.2904337084794899
40,109,16,3,0.0,5,0.3924804001949076
40,110,16,3,0.0,5,0.3649068609056668
40,111,16,3,0.0,5,0.33470134225375825
40,112,16,3,0.0,5,0.40159671480778136
40,113,16,3,0.0,5,0.5324501999987765
40,114,16,3,0.0,5,0.5543719397125169
40,115,16,3,0.0,5,0.44083175814347714
40,116,16,3,0.0,5,0.33593015781128455
40,117,16,3,0.0,5,0.307544691252969
40,118,16,3,0.0,5,0.3632579239591238
40,119,16,3,0.0,5,0.4553912051087403
40,120,16,3,0.0,5,0.3653926311235527
40,121,16,3,0.0,5,0.3900202251972291
40,122,16,3,0.0,5,0.49845660221299737
40,123,16,3,0.0,5,0.3556464132514888
40,124,16,3,0.0,5,0.4820746428090467
40,125,16,3,0.0,5,0.3601197064344757
40,126,16,3,0.0,5,0.352268218185755
40,127,16,3,0.0,5,0.428741926354852
40,128,16,3,0.0,5,0.3928633628571232
40,129,16,3,0.0,5,0.37431478018816877
40,130,16,3,0.0,5,0.4944227916172004
40,131,16,3,0.0,5,0.3479097794620183
40,132,16,3,0.0,5,0.4033063036447832
40,133,16,3,0.0,5,0.35999514687265743
40,134,16,3,0.0,5,0.42390958535007534
40,135,16,3,0.0,5,0.4226208463429132
40,136,16,3,0.0,5,0.49177664062335014
40,137,16,3,0.0,5,0.35586325932131
40,138,16,3,0.0,5,0.44759223762550293
40,139,16,3,0.0,5,0.5119111636515337
40,140,16,3,0.0,5,0.46668898557880034
40,141,16,3,0.0,5,0.35530363069377346
40,142,16,3,0.0,5,0.4172603256760653
40,143,16,3,0.0,5,0.4921248637284289
40,144,16,3,0.0,5,0.43854812250905645
40,145,16,3,0.0,5,0.441977486573109
40,146,16,3,0.0,5,0.44541054659991874
40,147,16,3,0.0,5,0.5527035465488439
40,148,16,3,0.0,5,0.36455862579960874
40,149,16,3,0.0,5,0.3735994553513913
40,150,16,3,0.0,5,0.4244936725943554
40,151,16,3,0.0,5,0.45729246613041974
40,152,16,3,0.0,5,0.5704168480609026
40,153,16,3,0.0,5,0.49518209713133304
40,154,16,3,0.0,5,0.45056220898178956
40,155,16,3,0.0,5,0.40308338016306666
40,156,16,3,0.0,5,0.37854765974576676
40,157,16,3,0.0,5,0.6276021389021147
40,158,16,3,0.0,5,0.3717600483079815
40,159,16,3,0.0,5,0.6191887748722184
40,160,16,3,0.0,5,0.44394045614523225
40,161,16,3,0.0,5,0.3586807675341072
40,162,16,3,0.0,5,0.3342580665003345
40,163,16,3,0.0,5,0.43282818857042493
40,164,16,3,0.0,5,0.5187955397100217
40,165,16,3,0.0,5,0.4435579762332491
40,166,16,3,0.0,5,0.4530653125987121
40,167,16,3,0.0,5,0.3075061436046207
40,168,16,3,0.0,5,0.4362773838175609
40,169,16,3,0.0,5,0.34366776005311456
40,170,16,3,0.0,5,0.4453318865352701
40,171,16,3,0.0,5,0.4227472052511766
40,172,16,3,0.0,5,0.35421573334639533
40,173,16,3,0.0,5,0.5810053485558444
40,174,16,3,0.0,5,0.5262428251929023
40,175,16,3,0.0,5,0.41003842932888457
40,176,16,3,0.0,5,0.510927112213828
40,177,16,3,0.0,5,0.3425601543853988
40,178,16,3,0.0,5,0.40543160550692553
40,179,16,3,0.0,5,0.4062033612478121
40,180,16,3,0.0,5,0.5088191761213728
40,181,16,3,0.0,5,0.3727106995977725
40,182,16,3,0.0,5,0.36616076986078283
40,183,16,3,0.0,5,0.45411155192164043
40,184,16,3,0.0,5,0.4318805431949862
40,185,16,3,0.0,5,0.46337650957379234
40,186,16,3,0.0,5,0.3581748877470936
40,187,16,3,0.0,5,0.4374754236262539
40,188,16,3,0.0,5,0.3358651823103585
40,189,16,3,0.0,5,0.5448592179900542
40,190,16,3,0.0,5,0.5252278547545437
40,191,16,3,0.0,5,0.5125597193401032
40,192,16,3,0.0,5,0.36976640883854306
40,193,16,3,0.0,5,0.5209466532575671
40,194,16,3,0.0,5,0.5483172595226696
40,195,16,3,0.0,5,0.36638598580636317
40,196,16,3,0.0,5,0.36815621793675635
40,197,16,3,0.0,5,0.38330211254890934
40,198,16,3,0.0,5,0.4670068402783933
40,199,16,3,0.0,5,0.4104284053912883
40,0,16,3,0.0,10,0.5159128590357451
40,1,16,3,0.0,10,0.4266416133439194
40,2,16,3,0.0,10,0.4491873693199724
40,3,16,3,0.0,10,0.44952338448340984
40,4,16,3,0.0,10,0.40670735042364214
40,5,16,3,0.0,10,0.6120655556596729
40,6,16,3,0.0,10,0.39187877840670426
